year,calendar_year,population_size,birth_count,births_per_population,births_per_eligible,births_per_matched_pair,death_count,matched_pair_count,new_pair_count,active_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,mean_perceived_candidate_count,median_perceived_candidate_count,mean_actionable_candidate_count,action_coverage_rate,visibility_action_gap,mean_selected_actionable_share,mean_selection_quota,mean_selection_acceptance_share,mean_phantom_candidate_count,mean_sampled_phantom_candidate_count,mean_selected_phantom_count,mean_phantom_selection_share,candidate_pool_multiplier,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,action_radius,blocked_mutual_pair_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius,variant,label,seed
35,2014,2657,16,0.006022,0.016736,0.099379,42,161,1,412,0.66318,471.0,471.0,141029.984739,141029.984739,54.724576,0.116188,0.883812,0.026748,16.0,0.000113,140559.0,512.0,12.351695,0.771981,299.426719,1.0,1.0,0.084787,1,0.12,7,0.00797,0.799288,1.99911,0.989368,28.444444,1.413746,raw_sns,Raw SNS / no discipline,42
36,2015,2626,12,0.00457,0.012712,0.085714,43,140,0,381,0.70339,507.0,507.0,152007.227166,152007.227166,58.799213,0.115975,0.884025,0.027559,16.0,0.000105,151500.0,512.0,12.198819,0.762426,299.817016,1.0,1.0,0.085147,1,0.12,9,0.007796,0.793075,1.991325,0.992257,20.571429,1.414064,raw_sns,Raw SNS / no discipline,42
37,2016,2609,10,0.003833,0.010449,0.082645,27,121,0,341,0.747126,574.0,574.0,172166.494965,172166.494965,65.662609,0.114395,0.885605,0.029239,16.0,9.3e-05,171592.0,512.0,11.817391,0.738587,299.941629,1.0,1.0,0.085347,1,0.12,7,0.006419,0.789948,1.987395,0.992334,20.0,1.414166,raw_sns,Raw SNS / no discipline,42
38,2017,2583,8,0.003097,0.008359,0.076923,34,104,0,299,0.782654,629.0,629.0,188688.290155,188688.290155,71.596825,0.113826,0.886174,0.024802,16.0,8.5e-05,188059.0,512.0,12.249206,0.765575,299.981383,1.0,1.0,0.085667,1,0.12,6,0.005957,0.786974,1.983651,0.993806,16.0,1.414198,raw_sns,Raw SNS / no discipline,42
39,2018,2551,6,0.002352,0.006296,0.069767,38,86,0,270,0.819517,660.0,660.0,197996.081496,197996.081496,74.287443,0.112557,0.887443,0.023449,16.0,8.1e-05,197336.0,512.0,12.453858,0.778366,299.994063,1.0,1.0,0.086067,1,0.12,9,0.005992,0.781177,1.976331,0.995296,12.0,1.414209,raw_sns,Raw SNS / no discipline,42
40,2019,2504,3,0.001198,0.003141,0.042857,50,70,1,236,0.853403,713.0,713.0,213898.650002,213898.650002,78.529412,0.110139,0.889861,0.024072,16.0,7.5e-05,213186.0,512.0,12.347339,0.771709,299.998107,1.0,1.0,0.086653,1,0.12,4,0.009214,0.778551,1.973007,0.997604,6.0,1.414212,raw_sns,Raw SNS / no discipline,42
41,2020,2468,7,0.002836,0.007471,0.132075,43,53,0,208,0.886873,729.0,729.0,218699.559814,218699.559814,81.383562,0.111637,0.888363,0.024829,16.0,7.3e-05,217971.0,512.0,12.236986,0.764812,299.999396,1.0,1.0,0.087187,1,0.12,7,0.010876,0.774109,1.967371,0.994327,14.0,1.414213,raw_sns,Raw SNS / no discipline,42
42,2021,2437,3,0.001231,0.003215,0.069767,34,43,0,183,0.907824,761.0,761.0,228299.85346,228299.85346,84.047244,0.110443,0.889557,0.025098,16.0,7e-05,227539.0,512.0,11.993438,0.74959,299.999807,1.0,1.0,0.087547,1,0.12,3,0.00858,0.769726,1.961793,0.997538,6.0,1.414213,raw_sns,Raw SNS / no discipline,42
43,2022,2412,6,0.002488,0.006342,0.171429,31,35,0,153,0.926004,803.0,803.0,240899.950688,240899.950688,87.937811,0.109512,0.890488,0.028063,16.0,6.6e-05,240097.0,512.0,11.634328,0.727146,299.999939,1.0,1.0,0.08792,1,0.12,8,0.008065,0.765896,1.956905,0.996407,9.0,1.414214,raw_sns,Raw SNS / no discipline,42
44,2023,2365,1,0.000423,0.001066,0.038462,48,26,0,135,0.944563,820.0,820.0,245999.983941,245999.983941,89.946407,0.109691,0.890309,0.023828,16.0,6.5e-05,245180.0,512.0,12.366626,0.772914,299.99998,1.0,1.0,0.08848,1,0.12,6,0.005704,0.763747,1.954159,0.999154,2.0,1.414214,raw_sns,Raw SNS / no discipline,42
45,2024,2332,1,0.000429,0.001089,0.055556,34,18,0,114,0.960784,826.0,826.0,247799.994841,247799.994841,92.67231,0.112194,0.887806,0.024486,16.0,6.5e-05,246974.0,512.0,12.440145,0.777509,299.999994,1.0,1.0,0.08892,1,0.12,5,0.006983,0.758042,1.946846,0.999142,2.0,1.414214,raw_sns,Raw SNS / no discipline,42
46,2025,2295,2,0.000871,0.002205,0.2,39,10,0,92,0.977949,842.0,842.0,252599.998323,252599.998323,93.928826,0.111554,0.888446,0.021575,16.0,6.3e-05,251758.0,512.0,12.716489,0.794781,299.999998,1.0,1.0,0.089427,1,0.12,4,0.007829,0.750448,1.93707,0.998257,4.0,1.414214,raw_sns,Raw SNS / no discipline,42
47,2026,2257,0,0.0,0.0,0.0,38,9,0,83,0.979661,830.0,830.0,248999.999473,248999.999473,92.259928,0.111157,0.888843,0.022488,16.0,6.4e-05,248170.0,512.0,12.706378,0.794149,299.999999,1.0,1.0,0.089907,1,0.12,3,0.010683,0.747529,1.933299,0.0,0.0,1.414214,raw_sns,Raw SNS / no discipline,42
