candidate,label,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,pre_shock_rmse,early_rmse,full_anchor_rmse,shape_score,late_births_per_population_mean,target_error,inside_target_band,error_1980,error_1990,error_2000,error_2010,error_2020,error_2070,birth_probability,pair_duration_mean,initial_pair_fraction,carrying_capacity,lifespan_mean
bp0.20_dur26_cap4500_life86,"birth=0.20, duration=26, cap=4500, life=86",3,0.6020684137540816,0.5724755700325733,0.6322686322686323,0.011232422725060651,0.013701001064719569,0.05910505222910045,0.13834659615059933,0.0052105,0.1379315862459184,False,0.0,0.01360910920481421,0.01324979840584691,0.02044069620931155,-0.005891307748087993,-0.14113768303718507,0.2,26.0,0.55,4500,86.0
bp0.26_dur26_cap4500_life78,"birth=0.26, duration=26, cap=4500, life=78",3,0.8721972830223202,0.8542345276872965,0.8932902182700081,0.010957997512079378,0.02767883420531347,0.05937377932589688,0.1462315464910421,0.009541633333333334,0.13219728302232026,False,0.0,0.009706469237843315,0.0029994504747684982,0.02933934440759778,0.04835651145168662,0.12899118623105368,0.26,26.0,0.55,4500,78.0
bp0.22_dur26_cap9000_life78,"birth=0.22, duration=26, cap=9000, life=78",3,0.8743527452813712,0.8543371522094927,0.8900565885206144,0.009049212389608674,0.026329652421466607,0.06000330345411026,0.1469269154108958,0.0097226,0.1343527452813712,False,0.0,0.008350581611250796,0.00926798730675397,0.027453654053316567,0.0453319272653685,0.1311466484901046,0.22,26.0,0.55,9000,78.0
bp0.18_dur18_cap6000_life86,"birth=0.18, duration=18, cap=6000, life=86",3,0.5826082448943085,0.5698051948051948,0.6063569682151589,0.011722410425433786,0.016459593044487988,0.06736464405999795,0.1584052163962097,0.0046610333333333325,0.15739175510569148,False,0.0,0.011672527213797412,0.009159974792158762,0.01716833116237922,-0.00837572011538786,-0.16059785189695816,0.18,18.0,0.55,6000,86.0
bp0.20_dur18_cap4500_life82,"birth=0.20, duration=18, cap=4500, life=82",3,0.5852659139350623,0.5513029315960912,0.6265356265356266,0.00935236775124048,0.019659239216042262,0.06723393983322395,0.15934541227772447,0.0059709333333333335,0.15473408606493766,False,0.0,-0.005059315675802385,-0.0151278484722653,-0.018014678617631397,-0.03517250168609909,-0.15794018285620418,0.2,18.0,0.55,4500,82.0
bp0.24_dur26_cap6000_life78,"birth=0.24, duration=26, cap=6000, life=78",3,0.8989008983552816,0.846530612244898,0.9625407166123778,0.008317009629007693,0.02663551549538343,0.06900762627518219,0.1684347120743606,0.009916583333333335,0.15890089835528165,False,0.0,0.007750921114458631,0.00811340440331206,0.028466583020464675,0.049117574613296654,0.15569480156401505,0.24,26.0,0.55,6000,78.0
bp0.20_dur26_cap4500_life82,"birth=0.20, duration=26, cap=4500, life=82",3,0.5759597313436308,0.5559183673469388,0.5954135954135954,0.009530257969678975,0.02242881361318436,0.07133568634896166,0.17017743088703455,0.006311616666666665,0.16404026865636923,False,0.0,0.000136331404442247,-0.00859187240627531,-0.025074868562884173,-0.03950291556979354,-0.16724636544763574,0.2,26.0,0.55,4500,82.0
bp0.26_dur18_cap4500_life78,"birth=0.26, duration=18, cap=4500, life=78",3,0.8823298715399693,0.8534201954397395,0.9193811074918566,0.02304706399150128,0.04611559868015606,0.07071997524252173,0.17647161002262346,0.008761316666666668,0.14232987153996934,False,0.0,0.02862066248998311,0.02608485256826265,0.04624065910210836,0.08182615558012458,0.13912377474870266,0.26,18.0,0.55,4500,78.0
bp0.18_dur18_cap6000_life82,"birth=0.18, duration=18, cap=6000, life=82",3,0.5664071560318764,0.5415309446254072,0.5854456255110384,0.011892669743052779,0.023769207744668702,0.07553721271117943,0.18016054050374275,0.006054166666666669,0.17359284396812358,False,0.0,-0.009443418920605259,-0.01762724053987963,-0.026212826045518185,-0.04117413232650713,-0.17679894075939018,0.18,18.0,0.55,6000,82.0
bp0.18_dur26_cap6000_life82,"birth=0.18, duration=26, cap=6000, life=82",3,0.5643007043472376,0.5244299674267101,0.5945945945945946,0.013065310462570728,0.025910832640134218,0.07679404019541008,0.18407681250189195,0.006384916666666666,0.17569929565276243,False,0.0,-0.005055130929877268,-0.01813154672491657,-0.03160466559989391,-0.04276473219596566,-0.17890539244402895,0.18,26.0,0.55,6000,82.0
bp0.24_dur26_cap4500_life86,"birth=0.24, duration=26, cap=4500, life=86",3,0.8578116857232398,0.8356500408830744,0.8868078175895765,0.039996184787552215,0.06726611722044945,0.07739235749083499,0.186747788267792,0.0079712,0.11781168572323986,False,0.0,0.03618655628973344,0.0586794813173522,0.08924266543219672,0.09875366781440631,0.11460558893197319,0.24,26.0,0.55,4500,86.0
bp0.18_dur26_cap9000_life78,"birth=0.18, duration=26, cap=9000, life=78",3,0.5702641194746172,0.5551020408163265,0.5965770171149144,0.022313220070090112,0.04002392358860304,0.07983420566338643,0.1947200886175301,0.006584983333333333,0.1697358805253828,False,0.0,-0.010426937273866047,-0.03550631261513456,-0.046831043163123955,-0.06106622332785979,-0.17294197731664931,0.18,26.0,0.55,9000,78.0
bp0.18_dur18_cap9000_life78,"birth=0.18, duration=18, cap=9000, life=78",3,0.5642687645447555,0.4876847290640394,0.6369582992641046,0.02041090667225529,0.04126322384772565,0.08266652255086442,0.2014795581642809,0.006507966666666666,0.1757312354552445,False,0.0,-0.009300541251362038,-0.033549210493226754,-0.03558978277484889,-0.054484256417606715,-0.1789373322465111,0.18,18.0,0.55,9000,78.0
bp0.26_dur18_cap4500_life86,"birth=0.26, duration=18, cap=4500, life=86",3,0.8768313712484401,0.8045417680454177,0.9326298701298701,0.03967140680335932,0.0716458120381771,0.08734220325328233,0.20949224790613524,0.007091300000000001,0.13683137124844014,False,0.0,0.041526266697389604,0.05412284181104754,0.083978410621393,0.11709844941033702,0.1336252744571735,0.26,18.0,0.55,4500,86.0
bp0.26_dur18_cap4500_life82,"birth=0.26, duration=18, cap=4500, life=82",3,0.9022550333779827,0.8622656886715566,0.929795918367347,0.035074769095675834,0.06405428396416568,0.08795456342225483,0.21712279308437046,0.008278166666666668,0.16225503337798275,False,0.0,0.03336852106595297,0.050150931806524156,0.07064033548343233,0.10814676471478853,0.15904893658671618,0.26,18.0,0.55,4500,82.0
bp0.24_dur18_cap6000_life78,"birth=0.24, duration=18, cap=6000, life=78",3,0.9297435734732152,0.9047231270358306,0.9561688311688312,0.024429463540132066,0.05407092753429008,0.09115042128068089,0.22657540366800608,0.009222266666666666,0.18974357347321524,False,0.0,0.032420879645249125,0.02446323856879847,0.060346938273534136,0.09511105200834342,0.18653747668194856,0.24,18.0,0.55,6000,78.0
bp0.18_dur18_cap6000_life78,"birth=0.18, duration=18, cap=6000, life=78",3,0.5289360028149033,0.5049261083743842,0.5641864268192968,0.02372189075660633,0.049947803245734855,0.10078221935291835,0.24377507037976787,0.006191200000000001,0.21106399718509672,False,0.0,-0.013296981752955276,-0.03864399350803471,-0.05573997182749032,-0.08513922851278488,-0.21427009397636332,0.18,18.0,0.55,6000,78.0
bp0.24_dur26_cap6000_life82,"birth=0.24, duration=26, cap=6000, life=82",3,0.9235477080280178,0.8869918699186992,0.9624489795918367,0.04023742279910228,0.0729004626877984,0.09978488346511342,0.2462340844949711,0.00887635,0.1835477080280178,False,0.0,0.039519209634348774,0.056789940172454235,0.08185478689898029,0.12232833030832853,0.1803416112367512,0.24,26.0,0.55,6000,82.0
bp0.20_dur18_cap4500_life78,"birth=0.20, duration=18, cap=4500, life=78",3,0.5252089915016015,0.4909688013136289,0.5772690106295993,0.02350635308966405,0.04980555487328523,0.10158617725591679,0.24633584766007996,0.006575500000000001,0.2147910084983985,False,0.0,-0.011689408114730293,-0.03866943882722721,-0.056027391827548824,-0.08563593796220888,-0.21799710528966507,0.2,18.0,0.55,4500,78.0
bp0.18_dur18_cap4500_life86,"birth=0.18, duration=18, cap=4500, life=86",3,0.49419425657686905,0.4624183006535948,0.527481542247744,0.0030799013967697775,0.02567882190549753,0.10441555020154016,0.24657753834222879,0.0041448833333333325,0.24580574342313094,False,0.0,-0.0023322382526091237,-0.0012575876542459952,-0.013904704843654692,-0.05445308919316368,-0.24901184021439757,0.18,18.0,0.55,4500,86.0
bp0.20_dur26_cap4500_life78,"birth=0.20, duration=26, cap=4500, life=78",3,0.5376890219689409,0.5164203612479474,0.5492610837438424,0.03394773388102743,0.06017884523046857,0.10074824859211273,0.24703787153049372,0.006853733333333334,0.20231097803105913,False,0.0,-0.02126722930595674,-0.05478832376430942,-0.06747145843142421,-0.10008484822997481,-0.20551707482232573,0.2,26.0,0.55,4500,78.0
bp0.22_dur18_cap9000_life78,"birth=0.22, duration=18, cap=9000, life=78",3,0.9676875784367641,0.9079804560260586,1.0097402597402598,0.019880344864044792,0.04956281902451223,0.10224127609518861,0.2532571795819548,0.009523583333333334,0.22768757843676413,False,0.0,0.026997285866606473,0.020115726688713236,0.053554667026865475,0.09020655097192061,0.22448148164549753,0.22,18.0,0.55,9000,78.0
