calibration,calibration_label,calibration_category,aspiration_profile,aspiration_label,quantile_label,seed,start_population,peak_population,peak_year,final_population,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean
phantom_100x,Lower SNS pool multiplier,visibility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1217.0,1302.0,2007,577.0,0.4741166803615448,0.4658997534921939,2098.0,0.34581853333333334,0.035905099999999995,0.10570733333333335,0.8942926666666667
phantom_100x,Lower SNS pool multiplier,visibility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1217.0,1275.0,2000,246.0,0.20213640098603122,0.19802793755135578,2066.0,0.4110833,0.037065633333333334,0.05453093333333334,0.9454690666666665
phantom_100x,Lower SNS pool multiplier,visibility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,244.0,0.2014863748967795,0.2014863748967795,2070.0,0.4394996333333333,0.031204366666666664,0.071068,0.9289319999999999
phantom_100x,Lower SNS pool multiplier,visibility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1217.0,1299.0,2006,332.0,0.27280197206244866,0.2645850451930978,2065.0,0.3110828,0.03823723333333332,0.11071236666666667,0.8892876333333335
phantom_500x,Higher SNS pool multiplier,visibility,symmetric,Symmetric,none,0,1222.0,1371.0,2017,1000.0,0.8183306055646481,0.8060556464811784,,0.29866333333333345,0.0371607,0.12305549999999998,0.8769445000000001
phantom_500x,Higher SNS pool multiplier,visibility,symmetric,Symmetric,none,1,1220.0,1300.0,2005,820.0,0.6721311475409836,0.6680327868852459,,0.36546990000000007,0.03239393333333333,0.08227673333333334,0.9177232666666667
phantom_500x,Higher SNS pool multiplier,visibility,symmetric,Symmetric,none,2,1217.0,1276.0,1996,1056.0,0.8677074774034511,0.8019720624486442,,0.26216880000000004,0.03372326666666667,0.15830510000000003,0.8416948999999999
phantom_500x,Higher SNS pool multiplier,visibility,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1336.0,2008,817.0,0.6685761047463176,0.6178396072013094,,0.27911363333333333,0.03553856666666667,0.13011926666666665,0.8698807333333333
phantom_500x,Higher SNS pool multiplier,visibility,income_500_floor,B 500+ proxy,fixed 0.55,1,1219.0,1286.0,1996,707.0,0.5799835931091059,0.5602953240360952,,0.3945594333333334,0.03437793333333334,0.07470606666666665,0.9252939333333334
phantom_500x,Higher SNS pool multiplier,visibility,income_500_floor,B 500+ proxy,fixed 0.55,2,1215.0,1274.0,1996,863.0,0.7102880658436214,0.5950617283950618,,0.23718,0.0446164,0.15503983333333332,0.8449601666666666
phantom_500x,Higher SNS pool multiplier,visibility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1217.0,1276.0,2000,416.0,0.3418241577649959,0.3163516844700082,2073.0,0.35228940000000003,0.03424610000000001,0.10909253333333334,0.8909074666666666
phantom_500x,Higher SNS pool multiplier,visibility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,499.0,0.412056151940545,0.4071015689512799,2097.0,0.29124906666666667,0.0362767,0.11239326666666667,0.8876067333333335
phantom_500x,Higher SNS pool multiplier,visibility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1217.0,1302.0,2007,614.0,0.504519309778143,0.4782251437962202,2094.0,0.3120613333333334,0.03523023333333333,0.1118843,0.8881157000000002
phantom_500x,Higher SNS pool multiplier,visibility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1217.0,1275.0,2000,156.0,0.12818405916187345,0.1257189811010682,2063.0,0.32492959999999993,0.036423366666666665,0.03056086666666667,0.9694391333333334
phantom_500x,Higher SNS pool multiplier,visibility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,215.0,0.17753922378199835,0.17753922378199835,2070.0,0.4107197999999999,0.0343304,0.07856646666666668,0.9214335333333332
phantom_500x,Higher SNS pool multiplier,visibility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1217.0,1299.0,2006,381.0,0.31306491372226786,0.3105998356614626,2075.0,0.42394840000000006,0.03742926666666667,0.09870810000000002,0.9012919000000001
topk_32,Larger top-k capacity,attention,symmetric,Symmetric,none,0,1222.0,1370.0,2017,1013.0,0.8289689034369886,0.806873977086743,,0.2699249,0.03843986666666667,0.0798224,0.9201776000000002
