calibration,calibration_label,calibration_category,aspiration_profile,aspiration_label,quantile_label,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,min_ratio_mean,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,delta_vs_symmetric,retained_vs_symmetric
phantom_500x,Higher SNS pool multiplier,visibility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,3,0.41946653982789456,0.3418241577649959,0.504519309778143,0.4005594657391694,0.3185332666666667,0.03525101111111111,0.11112336666666667,0.8888766333333334,-0.36658987034179963,0.5336341443196678
phantom_500x,Higher SNS pool multiplier,visibility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,3,0.20626273222204658,0.12818405916187345,0.31306491372226786,0.20461934684817637,0.38653259999999995,0.03606101111111111,0.06927847777777779,0.9307215222222224,-0.5797936779476476,0.26240194667138267
topk_32,Larger top-k capacity,attention,symmetric,Symmetric,none,3,0.8319508891992391,0.8008196721311476,0.8660640920295809,0.7674133897157686,0.27849243333333334,0.03561575555555555,0.07834273333333334,0.9216572666666668,0.0,1.0
topk_32,Larger top-k capacity,attention,income_500_floor,B 500+ proxy,fixed 0.55,3,0.648310538129862,0.55701394585726,0.7193415637860082,0.610757212921203,0.2858506888888888,0.03837868888888889,0.06786894444444444,0.9321310555555556,-0.18364035106937715,0.7792653948045746
topk_32,Larger top-k capacity,attention,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,3,0.5242256852584531,0.4782251437962202,0.6031224322103533,0.4940874540667455,0.32894203333333333,0.035823999999999995,0.055968855555555565,0.9433773666666666,-0.30772520394078595,0.6301161427485528
topk_32,Larger top-k capacity,attention,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,3,0.2649175220028403,0.20049301561216104,0.39194741166803615,0.2569595651655678,0.4116232555555555,0.03601711111111112,0.04012427777777777,0.9588120222222223,-0.5670333671963987,0.31842927923044356
reserve_50,Reserve 50%,attention,symmetric,Symmetric,none,3,0.8319508891992391,0.8008196721311476,0.8660640920295809,0.7674133897157686,0.27849243333333334,0.03561575555555555,0.15668533333333334,0.8433146666666667,0.0,1.0
reserve_50,Reserve 50%,attention,income_500_floor,B 500+ proxy,fixed 0.55,3,0.648310538129862,0.55701394585726,0.7193415637860082,0.610757212921203,0.2858506888888888,0.03837868888888889,0.13573782222222222,0.8642621666666668,-0.18364035106937715,0.7792653948045746
reserve_50,Reserve 50%,attention,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,3,0.5242256852584531,0.4782251437962202,0.6031224322103533,0.4940874540667455,0.32894203333333333,0.035823999999999995,0.11193763333333334,0.8879908333333333,-0.30772520394078595,0.6301161427485528
reserve_50,Reserve 50%,attention,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,3,0.2649175220028403,0.20049301561216104,0.39194741166803615,0.2569595651655678,0.4116232555555555,0.03601711111111112,0.0802485,0.9197155111111112,-0.5670333671963987,0.31842927923044356
repro_20_44,Reproductive window 20-44,age_window,symmetric,Symmetric,none,3,0.5152804289857164,0.49876543209876545,0.5245901639344263,0.5133725521800473,0.29641774444444446,0.0374731111111111,0.08516658888888888,0.9148334,0.0,1.0
repro_20_44,Reproductive window 20-44,age_window,income_500_floor,B 500+ proxy,fixed 0.55,3,0.3151177530061122,0.26557377049180325,0.38436213991769547,0.30937686633535955,0.3483059777777778,0.03899253333333333,0.07036847777777779,0.9296315222222221,-0.20016267597960413,0.611546131543155
repro_20_44,Reproductive window 20-44,age_window,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,3,0.21894803455617518,0.13289581624282198,0.32676518883415434,0.2186743618687094,0.4054579555555556,0.03441171111111111,0.05384223333333334,0.9461114666666668,-0.2963323944295412,0.42491044146030327
repro_20_44,Reproductive window 20-44,age_window,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,3,0.09352921922532444,0.07787903893951947,0.10180623973727422,0.09161373491896012,0.4962133111111111,0.03294933333333334,0.0390932,0.9609068,-0.42175120976039193,0.18151129746850347
repro_20_39,Reproductive window 20-39,age_window,symmetric,Symmetric,none,3,0.14122370252260222,0.11238720262510254,0.16748768472906403,0.13985533908527326,0.35339210000000004,0.043454577777777774,0.03830532222222223,0.9499375333333333,0.0,1.0
repro_20_39,Reproductive window 20-39,age_window,income_500_floor,B 500+ proxy,fixed 0.55,3,0.06540777230432403,0.052545155993431854,0.08045977011494253,0.06540777230432403,0.48328185555555553,0.03166083333333334,0.019291766666666668,0.9584860111111112,-0.07581593021827819,0.46315010253930855
repro_20_39,Reproductive window 20-39,age_window,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,3,0.043778558932677715,0.030654515327257662,0.058774834437086095,0.04323076380805433,0.5218749444444445,0.02676318888888889,0.017582444444444446,0.8379731111111112,-0.09744514358992451,0.30999441418604046
repro_20_39,Reproductive window 20-39,age_window,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,3,0.011314642671402572,0.0016433853738701725,0.019055509527754765,0.011314642671402572,0.4951852333333335,0.009537044444444446,0.004212955555555555,0.26141204444444444,-0.12990905985119966,0.08011858115383794
