variant,label,seed,start_population,peak_population,peak_year,final_population,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_unmatched_a_mean,late_unmatched_b_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,late_selection_quota_mean,reproductive_window,aspirational_gender,aspiration_quantile,aspiration_profile,reserve_fraction
b_mixed_income_plus_heavy_no_reserve,"B compound-heavy, no reserve",2,1217.0,1301.0,2006,0.0,0.0,0.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18-45,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.0
symmetric_reserve_025_repro_20_39,"Symmetric, reserve 25%, repro 20-39",0,1217.0,1217.0,1980,175.0,0.1437962202136401,0.1437962202136401,2062.0,0.3628737666666667,0.3231958062066758,0.3771526703921881,0.040051466666666674,0.035788833333333346,0.9308778333333334,15.466666666666667,20-39,none,0.0,none,0.25
symmetric_reserve_025_repro_20_39,"Symmetric, reserve 25%, repro 20-39",1,1219.0,1222.0,1981,137.0,0.11238720262510254,0.11238720262510254,2050.0,0.41979243333333344,0.4785633640301159,0.3322387873277967,0.03858273333333331,0.037735866666666666,0.9622641333333332,16.0,20-39,none,0.0,none,0.25
symmetric_reserve_025_repro_20_39,"Symmetric, reserve 25%, repro 20-39",2,1218.0,1221.0,1982,204.0,0.16748768472906403,0.16338259441707717,2051.0,0.2775101,0.3139550067253715,0.23453479370870675,0.051729533333333334,0.041391266666666676,0.9566706333333334,16.0,20-39,none,0.0,none,0.25
b_income_500_floor_repro_20_39,"B income floor 500+ proxy, repro 20-39",0,1218.0,1221.0,1996,64.0,0.052545155993431854,0.052545155993431854,2055.0,0.6317440999999999,0.6285521885521885,0.6166197691197689,0.020261533333333335,0.0174482,0.9492184666666666,15.466666666666667,20-39,B,0.55,fixed 0.55,0.25
b_income_500_floor_repro_20_39,"B income floor 500+ proxy, repro 20-39",1,1218.0,1220.0,1981,77.0,0.06321839080459771,0.06321839080459771,2049.0,0.38708543333333334,0.40375541125541126,0.35297619047619044,0.046160233333333335,0.015134699999999997,0.9848652999999999,16.0,20-39,B,0.55,fixed 0.55,0.25
b_income_500_floor_repro_20_39,"B income floor 500+ proxy, repro 20-39",2,1218.0,1218.0,1980,98.0,0.08045977011494253,0.08045977011494253,2044.0,0.43101603333333327,0.3283345603198545,0.490435516782266,0.028560733333333334,0.025292400000000003,0.9413742666666667,15.466666666666667,20-39,B,0.55,fixed 0.55,0.25
b_mixed_income_plus_light_repro_20_39,"B mixed: light compound tail, repro 20-39",0,1217.0,1219.0,1981,51.0,0.0419063270336894,0.04026294165981923,2048.0,0.4318336,0.3792063492063493,0.4442328042328043,0.0332967,0.018668133333333333,0.9479985333333334,15.466666666666667,20-39,B,0.666,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0.25
b_mixed_income_plus_light_repro_20_39,"B mixed: light compound tail, repro 20-39",1,1207.0,1207.0,1980,37.0,0.030654515327257662,0.030654515327257662,2044.0,0.7671510000000002,0.6183501683501684,0.7646031746031744,0.008397433333333334,0.011559333333333333,0.7884406666666667,12.8,20-39,B,0.666,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0.25
b_mixed_income_plus_light_repro_20_39,"B mixed: light compound tail, repro 20-39",2,1208.0,1213.0,1983,71.0,0.058774834437086095,0.058774834437086095,2050.0,0.3666402333333334,0.4082190957190958,0.3042063492063492,0.03859543333333334,0.022519866666666666,0.7774801333333333,12.8,20-39,B,0.666,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0.25
b_mixed_income_plus_heavy_repro_20_39,"B mixed: compound-heavy tail, repro 20-39",0,1217.0,1219.0,1981,2.0,0.0016433853738701725,0.0016433853738701725,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20-39,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.25
