region,region_label,visibility_condition,visibility_label,aspiration_profile,aspiration_label,seed_count,anchor_rmse_mean,final_ratio_mean,final_ratio_min,final_ratio_max,mean_unmatched_rate,late_unmatched_rate,late_births_per_population,symmetric_final_ratio_mean,symmetric_late_births_per_population,symmetric_late_unmatched_rate,delta_final_ratio_vs_symmetric,delta_late_births_vs_symmetric,delta_late_unmatched_vs_symmetric
usa,United States,global_from_start,Global from start,b_heavy_mixed,B compound-heavy,3,0.2666751059647476,1.0558186129478846,1.0119565217391304,1.0925925925925926,0.5765104148148148,0.5827233666666667,0.007577033333333333,1.4605386456792102,0.013552066666666666,0.2716150666666667,-0.4047200327313256,-0.005975033333333333,0.3111083
usa,United States,global_from_start,Global from start,b_light_mixed,B light mixed,3,0.19330761587153553,1.1740105001729069,1.1565217391304348,1.1995661605206074,0.47720512592592595,0.48049706666666664,0.009358333333333335,1.4605386456792102,0.013552066666666666,0.2716150666666667,-0.28652814550630334,-0.004193733333333331,0.20888199999999996
usa,United States,global_from_start,Global from start,symmetric,Symmetric,3,0.03785675794465935,1.4605386456792102,1.4149512459371614,1.5228260869565218,0.25874193333333334,0.2716150666666667,0.013552066666666666,1.4605386456792102,0.013552066666666666,0.2716150666666667,0.0,0.0,0.0
usa,United States,local_actionable,Local visible/actionable,b_500_proxy,B 500+ proxy,3,0.040589268101573844,1.4334700502094104,1.3785557986870898,1.5010893246187365,0.26739471111111107,0.2561086,0.013224,1.4641502426697333,0.013675133333333334,0.2537502666666667,-0.03068019246032283,-0.0004511333333333343,0.0023583333333332956
usa,United States,local_actionable,Local visible/actionable,b_heavy_mixed,B compound-heavy,3,0.04582274263009276,1.4175874424795,1.4115092290988056,1.4223194748358863,0.30712185185185187,0.298865,0.012900299999999998,1.4641502426697333,0.013675133333333334,0.2537502666666667,-0.04656280019023318,-0.0007748333333333357,0.04511473333333327
usa,United States,local_actionable,Local visible/actionable,b_light_mixed,B light mixed,3,0.05039342651243802,1.4113004340457127,1.3665207877461707,1.4386536373507057,0.29940224444444447,0.29233596666666667,0.012428733333333336,1.4641502426697333,0.013675133333333334,0.2537502666666667,-0.052849808624020556,-0.0012463999999999982,0.038585699999999945
usa,United States,local_actionable,Local visible/actionable,symmetric,Symmetric,3,0.02216074702187959,1.4641502426697333,1.4517876489707475,1.4706521739130434,0.2542325777777778,0.2537502666666667,0.013675133333333334,1.4641502426697333,0.013675133333333334,0.2537502666666667,0.0,0.0,0.0
usa,United States,sns_expansion,SNS-like expansion,b_500_proxy,B 500+ proxy,3,0.1910884704522542,1.1697213235528452,1.138495092693566,1.2239297475301867,0.46637662962962967,0.4649503666666667,0.008424300000000001,1.2061009773897062,0.0104355,0.3534035666666666,-0.03637965383686104,-0.0020111999999999994,0.11154680000000011
usa,United States,sns_expansion,SNS-like expansion,b_heavy_mixed,B compound-heavy,3,0.21461190759448331,1.1329263749205465,1.1290672451193058,1.1349292709466812,0.5292118,0.6400245666666666,0.006715266666666666,1.2061009773897062,0.0104355,0.3534035666666666,-0.07317460246915974,-0.003720233333333334,0.286621
usa,United States,sns_expansion,SNS-like expansion,b_light_mixed,B light mixed,3,0.1984886539450407,1.1586487009599702,1.15,1.1741022850924918,0.5006186814814815,0.5476730666666666,0.006741333333333333,1.2061009773897062,0.0104355,0.3534035666666666,-0.04745227642973604,-0.0036941666666666676,0.19426949999999998
usa,United States,sns_expansion,SNS-like expansion,symmetric,Symmetric,3,0.17490068240057685,1.2061009773897062,1.1721491228070176,1.2256297918948522,0.42022777037037035,0.3534035666666666,0.0104355,1.2061009773897062,0.0104355,0.3534035666666666,0.0,0.0,0.0
