region,region_label,candidate,seed_count,anchor_rmse_mean,anchor_rmse_min,anchor_rmse_max,final_ratio_mean,final_ratio_min,final_ratio_max,late_births_per_population_mean,score,birth_probability,carrying_capacity,pair_duration_mean,lifespan_mean,location_cluster_count,initial_pair_fraction
gbr,United Kingdom,41,2,0.08715367966400284,0.08549255463234003,0.08881480469566565,1.2841640233465617,1.282301845819761,1.2860262008733625,0.011145200000000001,0.08715367966400284,0.26,3200.0,26.0,78.0,10,0.55
gbr,United Kingdom,6,2,0.08835001113035665,0.08325525675929171,0.09344476550142157,1.0569684406728366,1.0461031833150385,1.0678336980306347,0.0082527,0.08835001113035665,0.18,3200.0,26.0,84.0,10,0.55
gbr,United Kingdom,4,2,0.0916416978160987,0.08070373389137833,0.10257966174081906,1.0470855841682138,1.0241492864983535,1.0700218818380745,0.0073962,0.0916416978160987,0.18,3200.0,20.0,84.0,10,0.55
gbr,United Kingdom,38,2,0.09359656962101093,0.0732203916757419,0.11397274756627995,1.2547140960599308,1.2246455834242094,1.2847826086956522,0.010647300000000002,0.09359656962101093,0.26,3200.0,14.0,84.0,10,0.55
gbr,United Kingdom,26,2,0.09428964347686006,0.0652817358358125,0.12329755111790763,1.256303636622256,1.1995637949836424,1.3130434782608695,0.01011865,0.09428964347686006,0.22,4800.0,14.0,84.0,10,0.55
gbr,United Kingdom,33,2,0.09505533054834005,0.06908751634866626,0.12102314474801383,1.3123477552754568,1.280130293159609,1.3445652173913043,0.012547600000000003,0.09505533054834005,0.22,7200.0,20.0,78.0,10,0.55
gbr,United Kingdom,2,2,0.09581608457482998,0.08654839091210192,0.10508377823755806,1.0432430227647895,1.0241228070175439,1.062363238512035,0.00780905,0.09581608457482998,0.18,3200.0,14.0,84.0,10,0.55
gbr,United Kingdom,31,2,0.0963747766430368,0.0889852616495159,0.1037642916365577,1.3161420101637493,1.307608695652174,1.3246753246753247,0.012519500000000001,0.0963747766430368,0.22,7200.0,14.0,78.0,10,0.55
gbr,United Kingdom,1,2,0.09848080053721639,0.07088631959717732,0.12607528147725547,1.0344638949671772,0.9890590809628009,1.0798687089715535,0.0078554,0.09848080053721639,0.18,3200.0,14.0,78.0,10,0.55
gbr,United Kingdom,40,2,0.10242902437131643,0.09771117815169592,0.10714687059093696,1.2731303874206688,1.266304347826087,1.2799564270152506,0.010327800000000002,0.10242902437131643,0.26,3200.0,20.0,84.0,10,0.55
gbr,United Kingdom,5,2,0.10254635539480415,0.09841508563566974,0.10667762515393857,1.0263809993044286,1.0230263157894737,1.0297356828193833,0.0084323,0.10254635539480415,0.18,3200.0,26.0,78.0,10,0.55
