year,population_size,birth_count,death_count,matched_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius
83,833,16,8,73,0.496552,88.855172,91.0,0.307457,0.425788,0.20915,1,0.651641,0.355317,1.332887,0.961585,32.0,0.368147
84,828,11,16,79,0.457045,91.642612,94.0,0.316009,0.441467,0.20915,1,0.658918,0.343504,1.310541,0.97343,22.0,0.374865
85,840,22,10,79,0.462585,95.707483,98.0,0.326647,0.457871,0.2091,1,0.666674,0.329165,1.282896,0.952165,40.333333,0.381766
86,854,23,9,72,0.503448,96.365517,98.0,0.333445,0.475028,0.20845,1,0.670048,0.322073,1.269001,0.954689,39.185185,0.388852
87,857,13,10,71,0.513699,99.253425,99.0,0.341077,0.492967,0.2078,1,0.674323,0.316343,1.257663,0.969662,26.0,0.396126
88,863,14,8,70,0.517241,99.868966,99.0,0.345567,0.511717,0.20755,1,0.678595,0.308156,1.241282,0.967555,28.0,0.40359
89,863,13,13,71,0.512027,102.838488,101.0,0.354615,0.531308,0.2075,1,0.684666,0.296722,1.218036,0.974151,22.533333,0.411243
90,870,22,15,70,0.522184,106.109215,106.0,0.363388,0.551771,0.2076,1,0.689811,0.287765,1.19951,0.957785,37.230769,0.419087
91,875,10,5,69,0.54,111.113333,110.0,0.371616,0.573135,0.20675,8,0.691574,0.28527,1.194299,0.981257,16.666667,0.427124
92,891,21,5,74,0.517915,116.76873,116.0,0.381597,0.595432,0.2065,8,0.695292,0.279548,1.18226,0.957138,38.347826,0.435352
93,909,22,4,81,0.488959,123.375394,121.0,0.390428,0.61869,0.20565,8,0.69742,0.276061,1.174863,0.951595,44.0,0.443774
94,916,16,9,81,0.501538,129.809231,126.0,0.400646,0.642941,0.205,8,0.699723,0.27272,1.167733,0.969159,28.444444,0.452388
95,927,17,6,85,0.480122,134.954128,131.0,0.41397,0.668215,0.2045,8,0.703446,0.2676,1.15672,0.967384,30.421053,0.461193
96,932,14,9,85,0.495549,145.026706,142.0,0.431627,0.69454,0.2041,8,0.707031,0.263695,1.148248,0.973942,24.5,0.47019
97,937,13,8,85,0.492537,148.268657,145.0,0.443918,0.721947,0.2038,8,0.709954,0.258146,1.136104,0.972252,26.0,0.479377
98,944,22,15,90,0.475219,157.725948,155.0,0.461187,0.750462,0.2039,8,0.714995,0.252893,1.124483,0.961094,37.230769,0.488753
99,956,19,7,90,0.478261,163.524638,160.0,0.475362,0.780115,0.20315,8,0.718023,0.24783,1.113172,0.964215,34.380952,0.498315
100,963,16,9,98,0.447887,172.783099,168.0,0.488088,0.81093,0.20265,8,0.720594,0.243862,1.104224,0.974039,25.6,0.508062
101,969,19,13,99,0.446927,180.631285,177.0,0.50597,0.842934,0.2025,8,0.724342,0.23601,1.086301,0.964695,34.380952,0.517991
102,984,23,8,99,0.45,189.144444,187.0,0.526865,0.876151,0.20195,8,0.727445,0.231032,1.074784,0.963856,36.482759,0.528098
103,998,24,10,101,0.454054,200.081081,196.0,0.542225,0.910603,0.2013,8,0.730748,0.225809,1.062564,0.951904,48.0,0.538381
104,1007,16,7,101,0.464191,211.267905,209.0,0.561883,0.94631,0.20045,8,0.732754,0.223359,1.056784,0.971946,28.444444,0.548835
105,1019,20,8,99,0.477573,219.6781,217.0,0.581159,0.983292,0.20005,8,0.735575,0.219308,1.047158,0.960746,40.0,0.559457
106,1020,16,15,101,0.467018,228.817942,226.0,0.605338,1.0,0.1998,8,0.740561,0.212492,1.030757,0.972304,28.444444,0.570241
107,1037,25,8,104,0.45974,242.212987,241.0,0.630763,1.0,0.1994,8,0.743515,0.208167,1.020213,0.961967,40.322581,0.581183
108,1041,19,15,108,0.451777,258.096447,258.0,0.656734,1.0,0.1989,8,0.746164,0.204893,1.012159,0.970373,31.391304,0.592276
109,1055,23,9,107,0.454082,266.127551,265.0,0.680633,1.0,0.1984,8,0.749234,0.200446,1.001113,0.960025,42.32,0.603517
110,1079,31,7,113,0.436409,282.074813,283.0,0.705187,1.0,0.1976,8,0.75214,0.197358,0.993374,0.952585,51.945946,0.614897
111,1108,34,5,116,0.428571,294.054187,296.0,0.72606,1.0,0.1963,8,0.755007,0.193529,0.98369,0.945424,60.842105,0.62641
112,1121,27,14,118,0.42439,304.058537,307.0,0.743419,1.0,0.1953,8,0.758189,0.189045,0.972227,0.958437,47.032258,0.63805
113,1132,27,16,120,0.418886,312.053269,316.0,0.757411,1.0,0.19475,8,0.762362,0.183282,0.957294,0.952297,54.0,0.649809
114,1146,20,6,118,0.434053,323.194245,329.0,0.776909,1.0,0.1937,8,0.763951,0.181423,0.952426,0.968412,36.363636,0.661679
115,1166,27,7,119,0.438679,335.320755,342.0,0.79272,1.0,0.19305,8,0.766387,0.178849,0.945645,0.956991,50.275862,0.673653
116,1167,18,17,124,0.429885,351.806897,360.0,0.810615,1.0,0.19255,8,0.76863,0.174203,0.933283,0.969152,36.0,0.685721
117,1191,32,8,128,0.428571,371.357143,381.0,0.830777,1.0,0.19205,8,0.771084,0.171559,0.926172,0.952561,56.888889,0.697875
118,1210,23,4,131,0.422907,383.30837,393.0,0.846155,1.0,0.19065,8,0.772056,0.169474,0.920528,0.96802,39.185185,0.710107
119,1228,27,9,138,0.39738,394.921397,408.0,0.864161,1.0,0.18995,8,0.77449,0.166208,0.911613,0.962058,47.032258,0.722407
120,1248,29,9,137,0.413276,410.068522,423.0,0.879975,1.0,0.18905,8,0.775849,0.163289,0.903573,0.953526,58.0,0.734767
121,1273,31,6,138,0.417722,423.506329,437.5,0.895362,1.0,0.1879,8,0.778338,0.161239,0.897885,0.95981,51.945946,0.747175
122,1292,28,9,138,0.41649,428.156448,440.0,0.907111,1.0,0.1868,8,0.780402,0.158459,0.890111,0.962406,49.0,0.759623
123,1314,26,4,141,0.414938,441.622407,452.0,0.918134,1.0,0.1856,8,0.781451,0.156925,0.885792,0.966046,45.066667,0.772101
124,1325,25,14,140,0.419087,447.854772,456.0,0.931091,1.0,0.185,8,0.783517,0.153039,0.874754,0.970234,40.322581,0.784599
125,1347,28,6,141,0.427992,464.482759,472.0,0.944071,1.0,0.18405,8,0.786103,0.151557,0.870508,0.958426,56.0,0.797107
126,1367,26,6,145,0.417671,473.694779,481.0,0.953108,1.0,0.18295,8,0.787361,0.149802,0.865455,0.964774,48.285714,0.809615
127,1391,33,9,147,0.420118,486.485207,494.0,0.961433,1.0,0.1821,8,0.788892,0.147908,0.859964,0.957955,58.864865,0.822113
128,1410,25,6,152,0.415385,502.423077,511.5,0.96806,1.0,0.18075,8,0.789828,0.146472,0.855781,0.964539,50.0,0.834591
129,1422,21,9,159,0.408922,523.702602,533.0,0.975238,1.0,0.17995,8,0.790944,0.144692,0.850564,0.975554,35.28,0.847039
130,1438,26,10,164,0.407942,541.776173,552.0,0.979704,1.0,0.1794,8,0.792571,0.142906,0.8453,0.963839,52.0,0.859447
131,1452,24,10,164,0.413238,549.234347,558.0,0.984291,1.0,0.1786,8,0.794441,0.140708,0.838774,0.966942,48.0,0.871806
132,1480,40,12,168,0.395683,547.809353,555.0,0.987044,1.0,0.178,8,0.796155,0.138306,0.831581,0.951081,72.727273,0.884106
133,1504,35,11,165,0.421053,563.164912,569.0,0.989745,1.0,0.17655,8,0.797992,0.136415,0.82588,0.953457,70.0,0.896338
134,1509,23,18,168,0.414634,568.324042,573.0,0.99184,1.0,0.1757,8,0.799523,0.135076,0.821815,0.974357,39.185185,0.908493
135,1534,33,8,169,0.430017,588.279933,592.0,0.993716,1.0,0.17495,8,0.801246,0.133123,0.815853,0.961874,58.864865,0.920561
136,1559,36,11,168,0.434343,590.30303,593.0,0.995452,1.0,0.17385,8,0.80333,0.131135,0.809736,0.958663,64.8,0.932534
137,1581,32,10,175,0.427169,607.993453,610.0,0.996711,1.0,0.17255,8,0.804944,0.128818,0.802551,0.96197,60.235294,0.944404
138,1606,42,17,176,0.431341,616.552504,618.0,0.997658,1.0,0.1718,8,0.806864,0.125905,0.793427,0.954634,73.5,0.956163
139,1620,25,11,180,0.426752,626.044586,627.0,0.998476,1.0,0.17025,8,0.807923,0.124278,0.788282,0.969136,50.0,0.967803
140,1628,27,19,189,0.409375,638.30625,639.0,0.998914,1.0,0.16995,8,0.809594,0.121347,0.778931,0.969196,50.275862,0.979317
141,1657,41,12,195,0.399076,647.633282,648.0,0.999434,1.0,0.1692,8,0.811134,0.119013,0.771404,0.957225,71.531915,0.990697
142,1690,44,11,196,0.406061,658.769697,659.0,0.999651,1.0,0.1677,8,0.813266,0.117113,0.765221,0.952448,80.666667,1.001937
143,1712,35,13,201,0.404444,673.78963,674.0,0.999688,1.0,0.16615,8,0.814729,0.11566,0.76046,0.963518,62.820513,1.013031
144,1746,44,10,203,0.402062,677.888071,678.0,0.999835,1.0,0.1649,8,0.816674,0.114201,0.755647,0.951838,84.173913,1.023973
145,1773,41,14,210,0.393939,691.91342,692.0,0.999875,1.0,0.1634,8,0.818636,0.112049,0.748494,0.961895,68.612245,1.034757
146,1795,33,11,215,0.387464,700.94302,701.0,0.999919,1.0,0.1619,8,0.820145,0.110378,0.742893,0.967418,58.864865,1.045379
147,1819,39,15,203,0.423295,702.948864,703.0,0.999927,1.0,0.161,8,0.821805,0.108804,0.737576,0.961292,70.744186,1.055833
148,1841,32,10,206,0.417256,705.971711,706.0,0.99996,1.0,0.15955,8,0.823455,0.107404,0.732816,0.967341,60.235294,1.066116
149,1874,43,10,208,0.411598,705.983027,706.0,0.999976,1.0,0.15845,8,0.825209,0.105603,0.726647,0.965129,67.236364,1.076223
150,1904,41,11,217,0.406293,729.989056,730.0,0.999985,1.0,0.15685,8,0.826606,0.103781,0.720352,0.962774,71.531915,1.086151
151,1917,30,17,221,0.407507,745.0,745.0,1.0,1.0,0.15565,8,0.827985,0.101969,0.714033,0.972596,52.941176,1.095898
152,1932,28,13,224,0.405046,752.0,752.0,1.0,1.0,0.1548,8,0.828714,0.100827,0.710024,0.97486,49.0,1.105461
153,1948,30,14,225,0.408673,760.0,760.0,1.0,1.0,0.1541,8,0.830209,0.099445,0.70514,0.971184,56.25,1.114836
154,1966,34,16,232,0.403599,777.0,777.0,1.0,1.0,0.1534,8,0.831193,0.098295,0.701053,0.967387,64.222222,1.124023
155,1989,38,15,232,0.410419,786.0,786.0,1.0,1.0,0.15245,8,0.832349,0.096778,0.695622,0.9656,68.761905,1.13302
156,2019,42,12,236,0.408521,797.0,797.0,1.0,1.0,0.15115,8,0.833385,0.095533,0.691133,0.963914,73.5,1.141826
157,2046,40,13,228,0.422053,788.0,788.0,1.0,1.0,0.1497,8,0.834987,0.093684,0.684413,0.964614,72.727273,1.15044
158,2064,35,17,232,0.411914,788.0,788.0,1.0,1.0,0.14855,8,0.836671,0.092085,0.678545,0.967968,66.216216,1.158861
159,2097,50,17,240,0.402242,802.0,802.0,1.0,1.0,0.14765,8,0.838287,0.090195,0.671545,0.957692,89.285714,1.16709
160,2112,30,15,245,0.407497,826.0,826.0,1.0,1.0,0.1459,8,0.838929,0.089198,0.667824,0.973422,56.25,1.175126
161,2138,44,18,250,0.401198,834.0,834.0,1.0,1.0,0.1453,8,0.84046,0.087733,0.662317,0.96407,77.44,1.182971
162,2160,34,12,258,0.400697,860.0,860.0,1.0,1.0,0.1437,8,0.841278,0.086734,0.658536,0.970316,64.222222,1.190624
163,2175,27,12,261,0.4,869.0,869.0,1.0,1.0,0.1426,8,0.842171,0.08589,0.655324,0.976943,50.275862,1.198087
164,2201,39,13,263,0.402273,879.0,879.0,1.0,1.0,0.1419,8,0.843317,0.084955,0.651746,0.966332,74.195122,1.205361
165,2219,40,22,263,0.410314,891.0,891.0,1.0,1.0,0.14105,8,0.844609,0.083503,0.646155,0.967373,72.727273,1.212448
166,2256,47,10,264,0.410056,894.0,894.0,1.0,1.0,0.13955,8,0.845606,0.082253,0.641299,0.967614,74.881356,1.219349
167,2283,41,14,268,0.409041,906.0,906.0,1.0,1.0,0.1379,8,0.846181,0.081087,0.636736,0.967416,74.711111,1.226066
168,2297,38,24,277,0.397826,919.0,919.0,1.0,1.0,0.13705,8,0.847367,0.079619,0.630947,0.970213,68.761905,1.232602
169,2310,30,17,277,0.400433,923.0,923.0,1.0,1.0,0.136,8,0.848395,0.078626,0.627001,0.974026,60.0,1.238957
170,2324,26,12,283,0.389428,926.0,926.0,1.0,1.0,0.1351,8,0.848919,0.078037,0.624646,0.97928,48.285714,1.245136
171,2339,32,17,278,0.401507,928.0,928.0,1.0,1.0,0.13465,8,0.850064,0.077142,0.621056,0.975844,56.888889,1.251141
172,2353,33,19,284,0.39381,936.0,936.0,1.0,1.0,0.134,8,0.851322,0.076079,0.616762,0.976587,55.846154,1.256973
173,2380,39,12,283,0.399151,941.0,941.0,1.0,1.0,0.13295,8,0.852669,0.075237,0.613341,0.97326,64.723404,1.262637
174,2404,38,14,289,0.397289,958.0,958.0,1.0,1.0,0.1317,8,0.853562,0.074222,0.609188,0.968386,76.0,1.268134
175,2427,40,17,298,0.390593,977.0,977.0,1.0,1.0,0.13065,8,0.855123,0.073533,0.606355,0.968644,76.190476,1.273468
176,2450,37,14,294,0.404255,986.0,986.0,1.0,1.0,0.12935,8,0.856242,0.072675,0.602805,0.971384,70.205128,1.278642
177,2465,31,16,302,0.403751,1012.0,1012.0,1.0,1.0,0.1283,8,0.857266,0.072014,0.600057,0.976418,58.242424,1.28366
178,2495,53,23,305,0.391825,1002.0,1002.0,1.0,1.0,0.1279,8,0.858932,0.070744,0.594745,0.964775,89.174603,1.288523
179,2520,43,18,302,0.403162,1011.0,1011.0,1.0,1.0,0.12615,8,0.860325,0.069856,0.590998,0.967423,82.177778,1.293236
180,2524,30,26,308,0.397849,1022.0,1022.0,1.0,1.0,0.1253,8,0.861299,0.068848,0.586721,0.97776,56.25,1.297802
181,2535,39,28,312,0.386431,1016.0,1016.0,1.0,1.0,0.1252,8,0.862426,0.067726,0.581918,0.969231,78.0,1.302224
182,2556,44,23,314,0.384314,1019.0,1019.0,1.0,1.0,0.1244,8,0.863309,0.066098,0.574882,0.965571,88.0,1.306506
183,2575,34,15,315,0.38716,1027.0,1027.0,1.0,1.0,0.12295,8,0.864019,0.065509,0.572315,0.973592,68.0,1.31065
184,2616,65,24,311,0.39787,1032.0,1032.0,1.0,1.0,0.12245,8,0.865519,0.064437,0.567613,0.957363,112.666667,1.314661
185,2632,38,22,323,0.384175,1048.0,1048.0,1.0,1.0,0.1203,8,0.866567,0.063881,0.565158,0.972604,72.2,1.31854
186,2646,37,23,323,0.390566,1059.0,1059.0,1.0,1.0,0.11955,8,0.867246,0.063166,0.561986,0.973504,70.205128,1.322293
187,2664,37,19,319,0.391802,1048.0,1048.0,1.0,1.0,0.11865,8,0.868075,0.062481,0.558934,0.972222,74.0,1.325922
188,2677,33,20,314,0.390883,1030.0,1030.0,1.0,1.0,0.1178,8,0.868932,0.061739,0.555602,0.978153,58.864865,1.32943
189,2696,34,15,314,0.389105,1027.0,1027.0,1.0,1.0,0.1169,8,0.869781,0.061198,0.553163,0.97757,60.842105,1.33282
190,2714,45,27,307,0.396264,1016.0,1016.0,1.0,1.0,0.11655,8,0.870703,0.060386,0.549479,0.973389,73.636364,1.336097
191,2714,32,32,306,0.397044,1014.0,1014.0,1.0,1.0,0.1159,8,0.871498,0.059372,0.544849,0.976419,64.0,1.339262
